word,monthyear,stateCode,Region,cases,totalTokens,tokenProp
bae,2013-10-01,AL,South,1617,6227779,2.5964312478011825e-4
bae,2013-10-01,AR,South,213,1098699,1.938656538323963e-4
bae,2013-10-01,AZ,West,1035,7809649,1.325283633105662e-4
bae,2013-10-01,CA,West,5414,48481607,1.1167121584893009e-4
bae,2013-10-01,CO,West,193,4082344,4.7276760606161556e-5
bae,2013-10-01,CT,Northeast,520,4880456,1.0654742097869543e-4
bae,2013-10-01,DE,South,54,424837,1.2710757302212378e-4
bae,2013-10-01,FL,South,3991,22522717,1.7719886992319798e-4
bae,2013-10-01,GA,South,3061,11400119,2.6850596910435757e-4
bae,2013-10-01,IA,Midwest,335,2719798,0.00012317091195743213
bae,2013-10-01,ID,West,19,800998,2.3720408790034433e-5
bae,2013-10-01,IL,Midwest,366,2815184,1.3000926404810485e-4
bae,2013-10-01,IN,Midwest,332,5289851,6.2761692153521907e-05
bae,2013-10-01,KS,Midwest,111,2054016,5.404047485511311e-5
bae,2013-10-01,KY,South,137,1706714,8.02712112281261e-5
bae,2013-10-01,LA,South,1699,6304312,2.694980832166936e-4
bae,2013-10-01,MA,Northeast,132,1747714,7.552723157221375e-5
bae,2013-10-01,MD,South,892,4788596,1.8627589381104608e-4
bae,2013-10-01,ME,Northeast,11,804121,1.3679533304067422e-5
bae,2013-10-01,MI,Midwest,2062,14300065,1.4419514876330981e-4
bae,2013-10-01,MN,Midwest,37,771354,4.796759983094662e-5
bae,2013-10-01,MO,Midwest,52,1151831,4.514551179817178e-5
bae,2013-10-01,MS,South,204,1020862,1.9983112310968573e-4
bae,2013-10-01,MT,West,3,180574,1.661368746331144e-5
bae,2013-10-01,NC,South,1621,7501997,2.160757995504397e-4
bae,2013-10-01,ND,Midwest,0,106269,0
bae,2013-10-01,NE,Midwest,7,560263,1.2494132220046656e-5
bae,2013-10-01,NH,Northeast,12,374178,3.207029809342078e-5
bae,2013-10-01,NJ,Northeast,226,1586610,1.424420620064162e-4
bae,2013-10-01,NM,West,81,1382639,5.8583621610557784e-5
bae,2013-10-01,NV,West,416,4497494,9.249595441372462e-5
bae,2013-10-01,NY,Northeast,547,8359752,6.5432563071249e-5
bae,2013-10-01,OH,Midwest,2215,13408929,1.6518843525832675e-4
bae,2013-10-01,OK,South,193,3534299,5.460771711731237e-5
bae,2013-10-01,OR,West,40,1543982,2.5907037776347132e-5
bae,2013-10-01,PA,Northeast,477,9984346,4.777478665102351e-5
bae,2013-10-01,SC,South,653,4813245,1.3566730968400735e-4
bae,2013-10-01,SD,Midwest,14,302837,4.6229489791538024e-5
bae,2013-10-01,TN,South,321,4908112,6.540193051829299e-5
bae,2013-10-01,TX,South,10359,38732824,2.6744757882874744e-4
bae,2013-10-01,UT,West,115,2534336,4.537677719134322e-5
bae,2013-10-01,VA,South,428,4014917,1.0660245280288485e-4
bae,2013-10-01,VT,Northeast,1,249369,4.010121546784083e-6
bae,2013-10-01,WA,West,429,6465101,6.635627192831171e-5
bae,2013-10-01,WI,Midwest,591,4345398,1.3600595388500662e-4
bae,2013-10-01,WV,South,48,1352708,3.54843765247193e-5
bae,2013-10-01,WY,West,0,78088,0
bae,2013-11-01,AL,South,1979,8134004,2.4329960988462754e-4
bae,2013-11-01,AR,South,266,1485877,1.7901885553111058e-4
bae,2013-11-01,AZ,West,1442,10432655,1.3821984911798578e-4
bae,2013-11-01,CA,West,9502,66141817,1.436610064703847e-4
bae,2013-11-01,CO,West,417,5681536,7.33956451213193e-5
bae,2013-11-01,CT,Northeast,1046,6878699,1.52063638778205e-4
bae,2013-11-01,DE,South,98,513098,1.9099665171175878e-4
bae,2013-11-01,FL,South,6955,31032596,2.2411918100567545e-4
bae,2013-11-01,GA,South,5397,15455728,3.491909277906547e-4
bae,2013-11-01,IA,Midwest,483,3274738,1.4749271544777016e-4
bae,2013-11-01,ID,West,60,1201849,4.9923076859072976e-5
bae,2013-11-01,IL,Midwest,582,3537786,1.645096679109477e-4
bae,2013-11-01,IN,Midwest,590,7016913,8.408255881183079e-5
bae,2013-11-01,KS,Midwest,154,2653538,5.80357243800541e-5
bae,2013-11-01,KY,South,208,2301479,9.037666648272698e-5
bae,2013-11-01,LA,South,3181,8969593,3.546426242528507e-4
bae,2013-11-01,MA,Northeast,170,2207032,7.702652249718174e-5
bae,2013-11-01,MD,South,2348,6572846,3.572272954516202e-4
bae,2013-11-01,ME,Northeast,22,1089054,2.0201018498623577e-5
bae,2013-11-01,MI,Midwest,3586,19673333,1.822771972598644e-4
bae,2013-11-01,MN,Midwest,39,948144,4.1132992456842e-5
bae,2013-11-01,MO,Midwest,52,1416211,3.671769249073761e-5
bae,2013-11-01,MS,South,402,1559558,2.577653412056493e-4
bae,2013-11-01,MT,West,6,261594,2.2936305878575197e-5
bae,2013-11-01,NC,South,2584,10108283,2.55631940656984e-4
bae,2013-11-01,ND,Midwest,5,139443,3.585694513170256e-5
bae,2013-11-01,NE,Midwest,31,799695,3.876477907202121e-5
bae,2013-11-01,NH,Northeast,20,475130,4.209374276513796e-5
bae,2013-11-01,NJ,Northeast,342,2142849,1.5960060648230462e-4
bae,2013-11-01,NM,West,174,1839609,9.458531677111821e-5
bae,2013-11-01,NV,West,662,5966217,1.1095808281864371e-4
bae,2013-11-01,NY,Northeast,794,11136570,7.129663801332008e-5
bae,2013-11-01,OH,Midwest,3741,18581776,2.0132628872503898e-4
bae,2013-11-01,OK,South,336,4813791,6.979945743386034e-5
bae,2013-11-01,OR,West,99,2290872,4.321498538547767e-5
bae,2013-11-01,PA,Northeast,822,13059168,6.294428557776422e-5
bae,2013-11-01,SC,South,1314,6474950,2.0293593000718152e-4
bae,2013-11-01,SD,Midwest,21,401469,5.230789924004095e-5
bae,2013-11-01,TN,South,536,6544351,8.19026974561725e-5
bae,2013-11-01,TX,South,17893,52846614,3.385836602511563e-4
bae,2013-11-01,UT,West,156,3658346,4.2642221375452186e-5
bae,2013-11-01,VA,South,819,5131363,1.59606716578032e-4
bae,2013-11-01,VT,Northeast,5,317467,1.5749668469478716e-5
bae,2013-11-01,WA,West,813,8909256,9.125341105923997e-5
bae,2013-11-01,WI,Midwest,945,5653610,1.671498387755788e-4
bae,2013-11-01,WV,South,125,1688511,7.402972204504442e-5
bae,2013-11-01,WY,West,0,116982,0
bae,2013-12-01,AL,South,3464,10414600,3.3260998982198066e-4
bae,2013-12-01,AR,South,465,2072518,2.243647582312916e-4
bae,2013-12-01,AZ,West,2264,12752762,1.775301695428802e-4
bae,2013-12-01,CA,West,14341,83249286,1.722657417145896e-4
bae,2013-12-01,CO,West,982,7892023,1.244294397013288e-4
bae,2013-12-01,CT,Northeast,1447,9187868,1.5749029045693735e-4
bae,2013-12-01,DE,South,104,593950,1.7509891405000422e-4
bae,2013-12-01,FL,South,10711,41193594,2.6001615688109173e-4
bae,2013-12-01,GA,South,7678,20738078,3.702368175102823e-4
bae,2013-12-01,IA,Midwest,608,4321140,1.4070361062127124e-4
bae,2013-12-01,ID,West,117,1737439,6.734049368064145e-5
bae,2013-12-01,IL,Midwest,906,4682286,1.9349522861269048e-4
bae,2013-12-01,IN,Midwest,1267,9228381,1.3729385468588695e-4
bae,2013-12-01,KS,Midwest,325,3504342,9.274208967047166e-5
bae,2013-12-01,KY,South,497,2945289,1.6874405194193168e-4
bae,2013-12-01,LA,South,4916,12000765,4.096405520814715e-4
bae,2013-12-01,MA,Northeast,285,2793867,1.0200915075771323e-4
bae,2013-12-01,MD,South,3555,8725771,4.0741385489030137e-4
bae,2013-12-01,ME,Northeast,75,1548665,4.84288080378907e-5
bae,2013-12-01,MI,Midwest,5004,25525784,1.9603707372905764e-4
bae,2013-12-01,MN,Midwest,70,1206432,5.8022333625102785e-5
bae,2013-12-01,MO,Midwest,120,1827432,6.566591807520061e-5
bae,2013-12-01,MS,South,776,2038288,3.807116560564552e-4
bae,2013-12-01,MT,West,39,362467,1.075960018429264e-4
bae,2013-12-01,NC,South,4052,12462722,3.2512961454167076e-4
bae,2013-12-01,ND,Midwest,9,176288,5.105282265383917e-5
bae,2013-12-01,NE,Midwest,54,828575,6.517213287873759e-5
bae,2013-12-01,NH,Northeast,34,664038,5.120188904851831e-5
bae,2013-12-01,NJ,Northeast,514,2778234,1.8500961402099318e-4
bae,2013-12-01,NM,West,243,2435893,9.975807640154965e-5
bae,2013-12-01,NV,West,1178,7724241,1.5250689355756765e-4
bae,2013-12-01,NY,Northeast,1233,13833016,8.913457484615069e-5
bae,2013-12-01,OH,Midwest,5440,23811956,2.2845666269499237e-4
bae,2013-12-01,OK,South,797,6925993,1.150737518793334e-4
bae,2013-12-01,OR,West,196,3013100,6.504928478975141e-5
bae,2013-12-01,PA,Northeast,1538,16889241,9.106389091137961e-5
