state,stateCode,ruralpct,majorityUrbanRural
Alabama,AL,44.555485597355585,Majority urban pop
Alaska,AK,34.40165759603913,Majority urban pop
Arizona,AZ,11.832791749632404,Majority urban pop
Arkansas,AR,47.47591082516646,Majority urban pop
California,CA,5.556225076500558,Majority urban pop
Colorado,CO,15.532096285252162,Majority urban pop
Connecticut,CT,12.259522281912105,Majority urban pop
Delaware,DE,19.887953037263912,Majority urban pop
District of Columbia,DC,0,Majority urban pop
Florida,FL,10.714037673242368,Majority urban pop
Georgia,GA,28.367474900301755,Majority urban pop
Hawaii,HI,8.52734996950155,Majority urban pop
Idaho,ID,33.575871766594304,Majority urban pop
Illinois,IL,12.156674296999032,Majority urban pop
Indiana,IN,29.215991816442273,Majority urban pop
Iowa,IA,38.918862026214455,Majority urban pop
Kansas,KS,28.55764988926573,Majority urban pop
Kentucky,KY,44.23728817752821,Majority urban pop
Louisiana,LA,27.373407241390424,Majority urban pop
Maine,ME,59.771845044759566,Majority rural pop
Maryland,MD,13.930330411521904,Majority urban pop
Massachusetts,MA,8.626896076717681,Majority urban pop
Michigan,MI,25.34588915528427,Majority urban pop
Minnesota,MN,29.056328932393043,Majority urban pop
Mississippi,MS,51.229602996212556,Majority rural pop
Missouri,MO,30.593466448360928,Majority urban pop
Montana,MT,45.9232205897838,Majority urban pop
Nebraska,NE,30.24304271172812,Majority urban pop
Nevada,NV,8.48794724602491,Majority urban pop
New Hampshire,NH,40.739335127603,Majority urban pop
New Jersey,NJ,5.648243774028891,Majority urban pop
New Mexico,NM,25.043072027865154,Majority urban pop
New York,NY,12.509579633331974,Majority urban pop
North Carolina,NC,39.752845988222845,Majority urban pop
North Dakota,ND,44.10495172843351,Majority urban pop
Ohio,OH,22.64405265855966,Majority urban pop
Oklahoma,OK,34.66273349921493,Majority urban pop
Oregon,OR,21.25607098149032,Majority urban pop
Pennsylvania,PA,22.937387947321135,Majority urban pop
Rhode Island,RI,9.078629691916298,Majority urban pop
South Carolina,SC,39.5035707769568,Majority urban pop
South Dakota,SD,48.14464975544615,Majority urban pop
Tennessee,TN,36.3712791225186,Majority urban pop
Texas,TX,17.492664908866466,Majority urban pop
Utah,UT,11.769149580707953,Majority urban pop
Vermont,VT,61.82035290813318,Majority rural pop
Virginia,VA,26.96271746263164,Majority urban pop
Washington,WA,18.035174371208193,Majority urban pop
West Virginia,WV,53.94792141318244,Majority rural pop
Wisconsin,WI,31.695283550923577,Majority urban pop
Wyoming,WY,34.92188860671309,Majority urban pop
