date,stateCode,total
2013-10-07,AL,184649
2013-10-07,AR,23641
2013-10-07,AZ,198852
2013-10-07,CA,1209652
2013-10-07,CO,106166
2013-10-07,CT,149773
2013-10-07,DE,12039
2013-10-07,FL,675243
2013-10-07,GA,363111
2013-10-07,IA,73405
2013-10-07,ID,23522
2013-10-07,IL,84037
2013-10-07,IN,149274
2013-10-07,KS,60035
2013-10-07,KY,45995
2013-10-07,LA,180652
2013-10-07,MA,61205
2013-10-07,MD,147472
2013-10-07,ME,27539
2013-10-07,MI,434627
2013-10-07,MN,22778
2013-10-07,MO,33701
2013-10-07,MS,25444
2013-10-07,MT,4890
2013-10-07,NC,220613
2013-10-07,ND,3169
2013-10-07,NE,16982
2013-10-07,NH,10560
2013-10-07,NJ,56597
2013-10-07,NM,38964
2013-10-07,NV,112416
2013-10-07,NY,265028
2013-10-07,OH,396846
2013-10-07,OK,100270
2013-10-07,OR,35581
2013-10-07,PA,320143
2013-10-07,SC,148221
2013-10-07,SD,8831
2013-10-07,TN,132842
2013-10-07,TX,1053670
2013-10-07,UT,65170
2013-10-07,VA,122254
2013-10-07,VT,7679
2013-10-07,WA,155691
2013-10-07,WI,121642
2013-10-07,WV,45342
2013-10-07,WY,2801
2013-10-08,AL,273198
2013-10-08,AR,39224
2013-10-08,AZ,322914
2013-10-08,CA,2052818
2013-10-08,CO,167536
2013-10-08,CT,197233
2013-10-08,DE,13776
2013-10-08,FL,908453
2013-10-08,GA,509879
2013-10-08,IA,108033
2013-10-08,ID,34054
2013-10-08,IL,109240
2013-10-08,IN,210700
2013-10-08,KS,85356
2013-10-08,KY,67566
2013-10-08,LA,252143
2013-10-08,MA,75303
2013-10-08,MD,190884
2013-10-08,ME,31393
2013-10-08,MI,602570
2013-10-08,MN,32662
2013-10-08,MO,42953
2013-10-08,MS,44738
2013-10-08,MT,7265
2013-10-08,NC,314818
2013-10-08,ND,5437
2013-10-08,NE,21513
2013-10-08,NH,14819
2013-10-08,NJ,64659
2013-10-08,NM,61987
2013-10-08,NV,183681
2013-10-08,NY,334360
2013-10-08,OH,536103
2013-10-08,OK,147558
2013-10-08,OR,63142
2013-10-08,PA,396117
2013-10-08,SC,208588
2013-10-08,SD,12345
2013-10-08,TN,197396
2013-10-08,TX,1555337
2013-10-08,UT,109205
2013-10-08,VA,163419
2013-10-08,VT,10350
2013-10-08,WA,265490
2013-10-08,WI,172438
2013-10-08,WV,54870
2013-10-08,WY,3600
2013-10-09,AL,257636
2013-10-09,AR,38202
2013-10-09,AZ,316230
2013-10-09,CA,2056499
2013-10-09,CO,162460
2013-10-09,CT,200058
2013-10-09,DE,18948
2013-10-09,FL,912946
2013-10-09,GA,450960
2013-10-09,IA,109670
2013-10-09,ID,31389
2013-10-09,IL,115119
2013-10-09,IN,220269
2013-10-09,KS,82708
2013-10-09,KY,69524
2013-10-09,LA,240768
2013-10-09,MA,69625
2013-10-09,MD,189164
2013-10-09,ME,32e3
2013-10-09,MI,555315
2013-10-09,MN,32763
2013-10-09,MO,48722
2013-10-09,MS,40503
2013-10-09,MT,7479
2013-10-09,NC,309446
2013-10-09,ND,4573
2013-10-09,NE,21745
2013-10-09,NH,14572
2013-10-09,NJ,69290
2013-10-09,NM,54219
2013-10-09,NV,181367
2013-10-09,NY,333082
2013-10-09,OH,531596
2013-10-09,OK,135786
2013-10-09,OR,58231
2013-10-09,PA,438547
2013-10-09,SC,187343
2013-10-09,SD,12639
2013-10-09,TN,196285
2013-10-09,TX,1538552
2013-10-09,UT,101104
2013-10-09,VA,167747
2013-10-09,VT,10865
2013-10-09,WA,256968
2013-10-09,WI,181314
2013-10-09,WV,57776
2013-10-09,WY,3399
2013-10-10,AL,243742
2013-10-10,AR,38583
2013-10-10,AZ,341902
2013-10-10,CA,1998578
2013-10-10,CO,176905
2013-10-10,CT,197619
2013-10-10,DE,16153
2013-10-10,FL,888745
2013-10-10,GA,454569
2013-10-10,IA,114527
2013-10-10,ID,31226
2013-10-10,IL,106191
2013-10-10,IN,207810
2013-10-10,KS,81328
2013-10-10,KY,65765
2013-10-10,LA,243094
2013-10-10,MA,66102
2013-10-10,MD,194422
2013-10-10,ME,30617
2013-10-10,MI,578475
2013-10-10,MN,32503
2013-10-10,MO,40055
2013-10-10,MS,41813
2013-10-10,MT,7503
2013-10-10,NC,302168
2013-10-10,ND,4498
2013-10-10,NE,21999
2013-10-10,NH,13740
2013-10-10,NJ,64293
2013-10-10,NM,58216
2013-10-10,NV,179694
2013-10-10,NY,337997
2013-10-10,OH,505546
2013-10-10,OK,135980
2013-10-10,OR,61386
2013-10-10,PA,399243
2013-10-10,SC,181048
2013-10-10,SD,11641
2013-10-10,TN,187850
2013-10-10,TX,1532246
2013-10-10,UT,98951
2013-10-10,VA,162221
2013-10-10,VT,9676
2013-10-10,WA,249575
2013-10-10,WI,179538
2013-10-10,WV,55468
2013-10-10,WY,3626
2013-10-11,AL,224754
2013-10-11,AR,38421
2013-10-11,AZ,299426
2013-10-11,CA,1894966
2013-10-11,CO,173036
2013-10-11,CT,186601
2013-10-11,DE,16113
2013-10-11,FL,844343
2013-10-11,GA,417822
2013-10-11,IA,107581
2013-10-11,ID,30354
2013-10-11,IL,95213
2013-10-11,IN,208029
2013-10-11,KS,76639
2013-10-11,KY,65267
2013-10-11,LA,213262
2013-10-11,MA,64670
2013-10-11,MD,187598
2013-10-11,ME,31600
2013-10-11,MI,478708
2013-10-11,MN,28998
2013-10-11,MO,36732
2013-10-11,MS,37035
2013-10-11,MT,7147
2013-10-11,NC,278802
2013-10-11,ND,4434
2013-10-11,NE,22838
2013-10-11,NH,12620
2013-10-11,NJ,66551
2013-10-11,NM,55752
2013-10-11,NV,174429
2013-10-11,NY,300758
2013-10-11,OH,452077
2013-10-11,OK,122083
2013-10-11,OR,59160
2013-10-11,PA,391669
2013-10-11,SC,171669
2013-10-11,SD,15513
2013-10-11,TN,185139
2013-10-11,TX,1439377
2013-10-11,UT,94216
2013-10-11,VA,155043
2013-10-11,VT,10108
2013-10-11,WA,241535
2013-10-11,WI,171742
2013-10-11,WV,47393
2013-10-11,WY,3085
2013-10-12,AL,228488
2013-10-12,AR,42271
2013-10-12,AZ,288695
2013-10-12,CA,1896188
2013-10-12,CO,165158
2013-10-12,CT,186036
2013-10-12,DE,14680
2013-10-12,FL,851688
2013-10-12,GA,459329
2013-10-12,IA,93869
2013-10-12,ID,31249
2013-10-12,IL,101354
2013-10-12,IN,186943
2013-10-12,KS,72732
2013-10-12,KY,58563
2013-10-12,LA,232629
2013-10-12,MA,65051
2013-10-12,MD,187973
2013-10-12,ME,29582
2013-10-12,MI,532703
2013-10-12,MN,25935
2013-10-12,MO,45243
2013-10-12,MS,40295
2013-10-12,MT,7808
2013-10-12,NC,277884
2013-10-12,ND,3089
2013-10-12,NE,23289
2013-10-12,NH,14660
2013-10-12,NJ,63372
2013-10-12,NM,52285
2013-10-12,NV,175299
