date,stateCode,word,cases
2013-10-07,AL,anime,0
2013-10-07,AL,bae,32
2013-10-07,AL,boi,9
2013-10-07,AL,bruhhh,0
2013-10-07,AL,fleek,0
2013-10-07,AR,anime,0
2013-10-07,AR,bae,5
2013-10-07,AR,boi,1
2013-10-07,AR,bruhhh,1
2013-10-07,AR,fleek,0
2013-10-07,AZ,anime,1
2013-10-07,AZ,bae,22
2013-10-07,AZ,boi,5
2013-10-07,AZ,bruhhh,0
2013-10-07,AZ,fleek,0
2013-10-07,CA,anime,11
2013-10-07,CA,bae,124
2013-10-07,CA,boi,26
2013-10-07,CA,bruhhh,5
2013-10-07,CA,fleek,0
2013-10-07,CO,anime,0
2013-10-07,CO,bae,4
2013-10-07,CO,boi,1
2013-10-07,CO,bruhhh,0
2013-10-07,CO,fleek,0
2013-10-07,CT,anime,1
2013-10-07,CT,bae,22
2013-10-07,CT,boi,4
2013-10-07,CT,bruhhh,2
2013-10-07,CT,fleek,0
2013-10-07,DE,anime,0
2013-10-07,DE,bae,1
2013-10-07,DE,boi,0
2013-10-07,DE,bruhhh,0
2013-10-07,DE,fleek,0
2013-10-07,FL,anime,10
2013-10-07,FL,bae,147
2013-10-07,FL,boi,17
2013-10-07,FL,bruhhh,1
2013-10-07,FL,fleek,0
2013-10-07,GA,anime,4
2013-10-07,GA,bae,81
2013-10-07,GA,boi,14
2013-10-07,GA,bruhhh,3
2013-10-07,GA,fleek,0
2013-10-07,IA,anime,0
2013-10-07,IA,bae,9
2013-10-07,IA,boi,9
2013-10-07,IA,bruhhh,0
2013-10-07,IA,fleek,0
2013-10-07,ID,anime,0
2013-10-07,ID,bae,1
2013-10-07,ID,boi,3
2013-10-07,ID,bruhhh,0
2013-10-07,ID,fleek,0
2013-10-07,IL,anime,1
2013-10-07,IL,bae,9
2013-10-07,IL,boi,0
2013-10-07,IL,bruhhh,0
2013-10-07,IL,fleek,0
2013-10-07,IN,anime,0
2013-10-07,IN,bae,7
2013-10-07,IN,boi,1
2013-10-07,IN,bruhhh,0
2013-10-07,IN,fleek,0
2013-10-07,KS,anime,1
2013-10-07,KS,bae,4
2013-10-07,KS,boi,1
2013-10-07,KS,bruhhh,0
2013-10-07,KS,fleek,0
2013-10-07,KY,anime,0
2013-10-07,KY,bae,2
2013-10-07,KY,boi,3
2013-10-07,KY,bruhhh,0
2013-10-07,KY,fleek,0
2013-10-07,LA,anime,0
2013-10-07,LA,bae,47
2013-10-07,LA,boi,7
2013-10-07,LA,bruhhh,1
2013-10-07,LA,fleek,0
2013-10-07,MA,anime,0
2013-10-07,MA,bae,5
2013-10-07,MA,boi,2
2013-10-07,MA,bruhhh,0
2013-10-07,MA,fleek,0
2013-10-07,MD,anime,4
2013-10-07,MD,bae,10
2013-10-07,MD,boi,3
2013-10-07,MD,bruhhh,5
2013-10-07,MD,fleek,0
2013-10-07,ME,anime,0
2013-10-07,ME,bae,1
2013-10-07,ME,boi,0
2013-10-07,ME,bruhhh,0
2013-10-07,ME,fleek,0
2013-10-07,MI,anime,1
2013-10-07,MI,bae,50
2013-10-07,MI,boi,5
2013-10-07,MI,bruhhh,0
2013-10-07,MI,fleek,0
2013-10-07,MN,anime,0
2013-10-07,MN,bae,0
2013-10-07,MN,boi,0
2013-10-07,MN,bruhhh,0
2013-10-07,MN,fleek,0
2013-10-07,MO,anime,0
2013-10-07,MO,bae,0
2013-10-07,MO,boi,0
2013-10-07,MO,bruhhh,1
2013-10-07,MO,fleek,0
2013-10-07,MS,anime,0
2013-10-07,MS,bae,8
2013-10-07,MS,boi,0
2013-10-07,MS,bruhhh,0
2013-10-07,MS,fleek,0
2013-10-07,MT,anime,0
2013-10-07,MT,bae,0
2013-10-07,MT,boi,0
2013-10-07,MT,bruhhh,0
2013-10-07,MT,fleek,0
2013-10-07,NC,anime,0
2013-10-07,NC,bae,38
2013-10-07,NC,boi,4
2013-10-07,NC,bruhhh,2
2013-10-07,NC,fleek,0
2013-10-07,ND,anime,0
2013-10-07,ND,bae,0
2013-10-07,ND,boi,0
2013-10-07,ND,bruhhh,0
2013-10-07,ND,fleek,0
2013-10-07,NE,anime,0
2013-10-07,NE,bae,0
2013-10-07,NE,boi,1
2013-10-07,NE,bruhhh,0
2013-10-07,NE,fleek,0
2013-10-07,NH,anime,0
2013-10-07,NH,bae,0
2013-10-07,NH,boi,1
2013-10-07,NH,bruhhh,0
2013-10-07,NH,fleek,0
2013-10-07,NJ,anime,0
2013-10-07,NJ,bae,5
2013-10-07,NJ,boi,1
2013-10-07,NJ,bruhhh,0
2013-10-07,NJ,fleek,0
2013-10-07,NM,anime,0
2013-10-07,NM,bae,0
2013-10-07,NM,boi,0
2013-10-07,NM,bruhhh,0
2013-10-07,NM,fleek,0
2013-10-07,NV,anime,0
2013-10-07,NV,bae,15
2013-10-07,NV,boi,1
2013-10-07,NV,bruhhh,0
2013-10-07,NV,fleek,0
2013-10-07,NY,anime,1
2013-10-07,NY,bae,14
2013-10-07,NY,boi,7
2013-10-07,NY,bruhhh,0
2013-10-07,NY,fleek,0
2013-10-07,OH,anime,2
2013-10-07,OH,bae,64
2013-10-07,OH,boi,7
2013-10-07,OH,bruhhh,2
2013-10-07,OH,fleek,0
2013-10-07,OK,anime,1
2013-10-07,OK,bae,5
2013-10-07,OK,boi,3
2013-10-07,OK,bruhhh,0
2013-10-07,OK,fleek,0
2013-10-07,OR,anime,0
2013-10-07,OR,bae,2
2013-10-07,OR,boi,2
2013-10-07,OR,bruhhh,0
2013-10-07,OR,fleek,0
2013-10-07,PA,anime,0
2013-10-07,PA,bae,18
2013-10-07,PA,boi,8
2013-10-07,PA,bruhhh,0
2013-10-07,PA,fleek,0
2013-10-07,SC,anime,1
