word,monthyear,stateCode,Region,cases,totalTokens,tokenProp
anime,2013-10-01,AL,South,12,6227779,1.926850647718874e-6
anime,2013-10-01,AR,South,5,1098699,4.550836944422449e-6
anime,2013-10-01,AZ,West,34,7809649,4.353588746434058e-6
anime,2013-10-01,CA,West,317,48481607,6.538562139658448e-6
anime,2013-10-01,CO,West,5,4082344,1.2247865442010767e-6
anime,2013-10-01,CT,Northeast,19,4880456,3.893078843452333e-6
anime,2013-10-01,DE,South,15,424837,3.530765917281216e-5
anime,2013-10-01,FL,South,114,22522717,5.061556294473708e-6
anime,2013-10-01,GA,South,80,11400119,7.017470607105066e-6
anime,2013-10-01,IA,Midwest,9,2719798,3.309069276468326e-6
anime,2013-10-01,ID,West,3,800998,3.745327703689647e-6
anime,2013-10-01,IL,Midwest,12,2815184,4.262598821249339e-6
anime,2013-10-01,IN,Midwest,27,5289851,5.104113518509312e-6
anime,2013-10-01,KS,Midwest,8,2054016,3.89480899856671e-6
anime,2013-10-01,KY,South,12,1706714,7.0310549980840375e-06
anime,2013-10-01,LA,South,11,6304312,1.744837501697251e-6
anime,2013-10-01,MA,Northeast,17,1747714,9.726991944906317e-6
anime,2013-10-01,MD,South,19,4788596,3.967760069966228e-6
anime,2013-10-01,ME,Northeast,5,804121,6.21796968366701e-6
anime,2013-10-01,MI,Midwest,55,14300065,3.8461363637158294e-6
anime,2013-10-01,MN,Midwest,4,771354,5.185686468210445e-6
anime,2013-10-01,MO,Midwest,5,1151831,4.340914595978056e-6
anime,2013-10-01,MS,South,1,1020862,9.795643289690477e-7
anime,2013-10-01,MT,West,0,180574,0
anime,2013-10-01,NC,South,24,7501997,3.199148173479675e-6
anime,2013-10-01,ND,Midwest,0,106269,0
anime,2013-10-01,NE,Midwest,0,560263,0
anime,2013-10-01,NH,Northeast,17,374178,4.543292229901277e-5
anime,2013-10-01,NJ,Northeast,4,1586610,2.521098442591437e-6
anime,2013-10-01,NM,West,8,1382639,5.7860367022773115e-6
anime,2013-10-01,NV,West,54,4497494,1.20066863902431e-5
anime,2013-10-01,NY,Northeast,45,8359752,5.382934804764543e-6
anime,2013-10-01,OH,Midwest,48,13408929,3.579704240361031e-6
anime,2013-10-01,OK,South,5,3534299,1.4147076973396988e-6
anime,2013-10-01,OR,West,3,1543982,1.943027833226035e-6
anime,2013-10-01,PA,Northeast,25,9984346,2.503919635797878e-6
anime,2013-10-01,SC,South,31,4813245,6.440561409194836e-6
anime,2013-10-01,SD,Midwest,0,302837,0
anime,2013-10-01,TN,South,13,4908112,2.648676313824949e-6
anime,2013-10-01,TX,South,192,38732824,4.957035923845884e-6
anime,2013-10-01,UT,West,33,2534336,1.3021162150559357e-5
anime,2013-10-01,VA,South,23,4014917,5.728636482398017e-6
anime,2013-10-01,VT,Northeast,3,249369,1.2030364640352248e-5
anime,2013-10-01,WA,West,44,6465101,6.805771479826843e-6
anime,2013-10-01,WI,Midwest,21,4345398,4.8326988690103875e-6
anime,2013-10-01,WV,South,1,1352708,7.392578442649855e-7
