state,stateCode,ruralpct,majorityUrbanRural,totalPop
Alabama,AL,44.555485597355585,Majority urban pop,4447100
Alaska,AK,34.40165759603913,Majority urban pop,626932
Arizona,AZ,11.832791749632404,Majority urban pop,5130632
Arkansas,AR,47.47591082516646,Majority urban pop,2673400
California,CA,5.556225076500558,Majority urban pop,33871648
Colorado,CO,15.532096285252162,Majority urban pop,4301261
Connecticut,CT,12.259522281912105,Majority urban pop,3405565
Delaware,DE,19.887953037263912,Majority urban pop,783600
District of Columbia,DC,0,Majority urban pop,572059
Florida,FL,10.714037673242368,Majority urban pop,15982378
Georgia,GA,28.367474900301755,Majority urban pop,8186453
Hawaii,HI,8.52734996950155,Majority urban pop,1211537
Idaho,ID,33.575871766594304,Majority urban pop,1293953
Illinois,IL,12.156674296999032,Majority urban pop,12419293
Indiana,IN,29.215991816442273,Majority urban pop,6080485
Iowa,IA,38.918862026214455,Majority urban pop,2926324
Kansas,KS,28.55764988926573,Majority urban pop,2688418
Kentucky,KY,44.23728817752821,Majority urban pop,4041769
Louisiana,LA,27.373407241390424,Majority urban pop,4468976
Maine,ME,59.771845044759566,Majority rural pop,1274923
Maryland,MD,13.930330411521904,Majority urban pop,5296486
Massachusetts,MA,8.626896076717681,Majority urban pop,6349097
Michigan,MI,25.34588915528427,Majority urban pop,9938444
Minnesota,MN,29.056328932393043,Majority urban pop,4919479
Mississippi,MS,51.229602996212556,Majority rural pop,2844658
Missouri,MO,30.593466448360928,Majority urban pop,5595211
Montana,MT,45.9232205897838,Majority urban pop,902195
Nebraska,NE,30.24304271172812,Majority urban pop,1711263
Nevada,NV,8.48794724602491,Majority urban pop,1998257
New Hampshire,NH,40.739335127603,Majority urban pop,1235786
New Jersey,NJ,5.648243774028891,Majority urban pop,8414350
New Mexico,NM,25.043072027865154,Majority urban pop,1819046
New York,NY,12.509579633331974,Majority urban pop,18976457
North Carolina,NC,39.752845988222845,Majority urban pop,8049313
North Dakota,ND,44.10495172843351,Majority urban pop,642200
Ohio,OH,22.64405265855966,Majority urban pop,11353140
Oklahoma,OK,34.66273349921493,Majority urban pop,3450654
Oregon,OR,21.25607098149032,Majority urban pop,3421399
Pennsylvania,PA,22.937387947321135,Majority urban pop,12281054
Rhode Island,RI,9.078629691916298,Majority urban pop,1048319
South Carolina,SC,39.5035707769568,Majority urban pop,4012012
South Dakota,SD,48.14464975544615,Majority urban pop,754844
Tennessee,TN,36.3712791225186,Majority urban pop,5689283
Texas,TX,17.492664908866466,Majority urban pop,20851820
Utah,UT,11.769149580707953,Majority urban pop,2233169
Vermont,VT,61.82035290813318,Majority rural pop,608827
Virginia,VA,26.96271746263164,Majority urban pop,7078515
Washington,WA,18.035174371208193,Majority urban pop,5894121
West Virginia,WV,53.94792141318244,Majority rural pop,1808344
Wisconsin,WI,31.695283550923577,Majority urban pop,5363675
Wyoming,WY,34.92188860671309,Majority urban pop,493782
