date,stateCode,totalTokens,dataDay
2013-10-07,AL,184649,1
2013-10-07,AR,23641,1
2013-10-07,AZ,198852,1
2013-10-07,CA,1209652,1
2013-10-07,CO,106166,1
2013-10-07,CT,149773,1
2013-10-07,DE,12039,1
2013-10-07,FL,675243,1
2013-10-07,GA,363111,1
2013-10-07,IA,73405,1
2013-10-07,ID,23522,1
2013-10-07,IL,84037,1
2013-10-07,IN,149274,1
2013-10-07,KS,60035,1
2013-10-07,KY,45995,1
2013-10-07,LA,180652,1
2013-10-07,MA,61205,1
2013-10-07,MD,147472,1
2013-10-07,ME,27539,1
2013-10-07,MI,434627,1
2013-10-07,MN,22778,1
2013-10-07,MO,33701,1
2013-10-07,MS,25444,1
2013-10-07,MT,4890,1
2013-10-07,NC,220613,1
2013-10-07,ND,3169,1
2013-10-07,NE,16982,1
2013-10-07,NH,10560,1
2013-10-07,NJ,56597,1
2013-10-07,NM,38964,1
2013-10-07,NV,112416,1
2013-10-07,NY,265028,1
2013-10-07,OH,396846,1
2013-10-07,OK,100270,1
2013-10-07,OR,35581,1
2013-10-07,PA,320143,1
2013-10-07,SC,148221,1
2013-10-07,SD,8831,1
2013-10-07,TN,132842,1
2013-10-07,TX,1053670,1
2013-10-07,UT,65170,1
2013-10-07,VA,122254,1
2013-10-07,VT,7679,1
2013-10-07,WA,155691,1
2013-10-07,WI,121642,1
2013-10-07,WV,45342,1
2013-10-07,WY,2801,1
2013-10-08,AL,273198,2
2013-10-08,AR,39224,2
2013-10-08,AZ,322914,2
2013-10-08,CA,2052818,2
2013-10-08,CO,167536,2
2013-10-08,CT,197233,2
2013-10-08,DE,13776,2
2013-10-08,FL,908453,2
2013-10-08,GA,509879,2
2013-10-08,IA,108033,2
2013-10-08,ID,34054,2
2013-10-08,IL,109240,2
2013-10-08,IN,210700,2
2013-10-08,KS,85356,2
2013-10-08,KY,67566,2
2013-10-08,LA,252143,2
2013-10-08,MA,75303,2
2013-10-08,MD,190884,2
2013-10-08,ME,31393,2
2013-10-08,MI,602570,2
2013-10-08,MN,32662,2
2013-10-08,MO,42953,2
2013-10-08,MS,44738,2
2013-10-08,MT,7265,2
2013-10-08,NC,314818,2
2013-10-08,ND,5437,2
2013-10-08,NE,21513,2
2013-10-08,NH,14819,2
2013-10-08,NJ,64659,2
2013-10-08,NM,61987,2
2013-10-08,NV,183681,2
2013-10-08,NY,334360,2
2013-10-08,OH,536103,2
2013-10-08,OK,147558,2
2013-10-08,OR,63142,2
2013-10-08,PA,396117,2
2013-10-08,SC,208588,2
2013-10-08,SD,12345,2
2013-10-08,TN,197396,2
2013-10-08,TX,1555337,2
2013-10-08,UT,109205,2
2013-10-08,VA,163419,2
2013-10-08,VT,10350,2
2013-10-08,WA,265490,2
2013-10-08,WI,172438,2
2013-10-08,WV,54870,2
2013-10-08,WY,3600,2
2013-10-09,AL,257636,3
2013-10-09,AR,38202,3
