GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06
0400000US01,01,Alabama,4447100,2465673,1941208,524465,1981427,0
0400000US02,02,Alaska,626932,411257,277670,133587,215675,0
0400000US04,04,Arizona,5130632,4523535,3908163,615372,607097,0
0400000US05,05,Arkansas,2673400,1404179,860747,543432,1269221,0
0400000US06,06,California,33871648,31989663,29950008,2039655,1881985,0
0400000US08,08,Colorado,4301261,3633185,3212849,420336,668076,0
0400000US09,09,Connecticut,3405565,2988059,2848497,139562,417506,0
0400000US10,10,Delaware,783600,627758,531032,96726,155842,0
0400000US11,11,District of Columbia,572059,572059,572059,0,0,0
0400000US12,12,Florida,15982378,14270020,13470104,799916,1712358,0
0400000US13,13,Georgia,8186453,5864163,5010117,854046,2322290,0
0400000US15,15,Hawaii,1211537,1108225,835912,272313,103312,0
0400000US16,16,Idaho,1293953,859497,603808,255689,434456,0
0400000US17,17,Illinois,12419293,10909520,9737473,1172047,1509773,0
0400000US18,18,Indiana,6080485,4304011,3410932,893079,1776474,0
0400000US19,19,Iowa,2926324,1787432,1114790,672642,1138892,0
0400000US20,20,Kansas,2688418,1920669,1207832,712837,767749,0
0400000US21,21,Kentucky,4041769,2253800,1566760,687040,1787969,0
0400000US22,22,Louisiana,4468976,3245665,2535614,710051,1223311,0
0400000US23,23,Maine,1274923,512878,313952,198926,762045,0
0400000US24,24,Maryland,5296486,4558668,4247989,310679,737818,0
0400000US25,25,Massachusetts,6349097,5801367,5635129,166238,547730,0
0400000US26,26,Michigan,9938444,7419457,6578451,841006,2518987,0
0400000US27,27,Minnesota,4919479,3490059,2711750,778309,1429420,0
0400000US28,28,Mississippi,2844658,1387351,679928,707423,1457307,0
0400000US29,29,Missouri,5595211,3883442,3090644,792798,1711769,0
0400000US30,30,Montana,902195,487878,234195,253683,414317,0
0400000US31,31,Nebraska,1711263,1193725,805111,388614,517538,0
0400000US32,32,Nevada,1998257,1828646,1676309,152337,169611,0
0400000US33,33,New Hampshire,1235786,732335,551828,180507,503451,0
0400000US34,34,New Jersey,8414350,7939087,7753792,185295,475263,0
0400000US35,35,New Mexico,1819046,1363501,862344,501157,455545,0
0400000US36,36,New York,18976457,16602582,15504619,1097963,2373875,0
0400000US37,37,North Carolina,8049313,4849482,3760871,1088611,3199831,0
0400000US38,38,North Dakota,642200,358958,230797,128161,283242,0
0400000US39,39,Ohio,11353140,8782329,7311293,1471036,2570811,0
0400000US40,40,Oklahoma,3450654,2254563,1483638,770925,1196091,0
0400000US41,41,Oregon,3421399,2694144,1976124,718020,727255,0
0400000US42,42,Pennsylvania,12281054,9464101,8210985,1253116,2816953,0
0400000US44,44,Rhode Island,1048319,953146,928119,25027,95173,0
0400000US45,45,South Carolina,4012012,2427124,1873821,553303,1584888,0
0400000US46,46,South Dakota,754844,391427,194584,196843,363417,0
0400000US47,47,Tennessee,5689283,3620018,2964722,655296,2069265,0
0400000US48,48,Texas,20851820,17204281,14795862,2408419,3647539,0
0400000US49,49,Utah,2233169,1970344,1748080,222264,262825,0
0400000US50,50,Vermont,608827,232448,105365,127083,376379,0
0400000US51,51,Virginia,7078515,5169955,4713302,456653,1908560,0
0400000US53,53,Washington,5894121,4831106,4303803,527303,1063015,0
0400000US54,54,West Virginia,1808344,832780,512427,320353,975564,0
0400000US55,55,Wisconsin,5363675,3663643,2842494,821149,1700032,0
0400000US56,56,Wyoming,493782,321344,125921,195423,172438,0
0400000US72,72,Puerto Rico,3808610,3595521,3476691,118830,213089,0
