FIPS,STATE,NAME,MR1,MR2,MR4,MR5,MR3,BLACK_2010,DENSITY_2011,TOTPOP_2000
1001,alabama,autauga,-0.724603036,2.555290315,0.001969901,0.280655315,0.488562891,17.7,93,45157
1003,alabama,baldwin,-0.181294323,1.003535552,-0.279808488,0.450001425,0.977364357,9.4,117.4,148141
1005,alabama,barbour,-0.906808633,2.05837722,0.147076746,-0.00248905,0.375863195,46.9,30.6,29289
1007,alabama,bibb,-0.314154177,1.696777024,-0.218197104,-0.085307222,0.631080329,22,36.6,20983
1009,alabama,blount,0.353020009,0.980727145,-0.23239243,-0.030903257,0.189809182,1.3,89.5,52775
1011,alabama,bullock,-0.727100701,2.928481288,0.209533023,0.368609532,0.596280075,70.2,16.9,11261
1013,alabama,butler,-0.444095201,2.28128092,-0.051162232,0.303967796,0.791474875,43.4,26.6,20607
1015,alabama,calhoun,0.519984187,2.6107714,-0.025558004,-0.570080429,-0.280721054,20.6,194.4,110860
1017,alabama,chambers,-0.397686252,3.548043151,-0.143030466,0.165316891,-0.023230466,38.7,56.9,35952
1019,alabama,cherokee,0.931490788,1.814697412,0.182982709,-0.290597062,-0.338595882,4.6,47.1,24143
1021,alabama,chilton,-0.615542808,2.571269392,-0.167935428,0.273517952,0.57213501,9.7,63.4,40460
1023,alabama,choctaw,-1.308145724,0.644194641,-0.447549361,0.040333417,0.882623555,43.4,14.9,15342
1025,alabama,clarke,-0.843557681,0.95896174,-0.433720822,-0.009147153,0.760676549,43.9,20.7,27273
1027,alabama,clay,0.036661947,2.930208555,-0.256059945,-0.380316188,-0.175596361,14.8,23,14173
1029,alabama,cleburne,0.766515509,3.849698854,-0.059269011,-0.151031881,-0.746237591,3.3,26.5,14376
1031,alabama,coffee,-0.537143218,2.15972152,-0.11365664,0.548798491,0.578905751,16.7,74.4,43759
1033,alabama,colbert,-0.684459834,0.00258793,-0.17858359,-0.434810513,0.135052853,16.1,92,54594
1035,alabama,conecuh,-0.047220794,1.899190432,-0.07143993,0.340051418,1.02746729,46.5,15.4,13699
1037,alabama,coosa,-0.400323817,2.877586231,-0.120134811,-0.1424095,0.117474616,31,16.5,11539
1039,alabama,covington,-0.161468559,2.118472245,-0.152353955,0.483763306,0.762953222,12.5,36.9,36661
1041,alabama,crenshaw,-0.395438262,2.433655248,-0.060815916,0.472702108,0.765117605,23.4,22.8,13580
1043,alabama,cullman,0.258018966,0.936824012,-0.088007602,-0.041981136,0.242257364,1.1,109.6,77814
1045,alabama,dale,-0.861700237,2.017515934,-0.134290277,0.216296187,0.510951754,19.3,89.2,49070
1047,alabama,dallas,-0.928959781,1.422213672,-0.089687498,0.079853497,0.817829945,69.4,44.3,44944
1049,alabama,de kalb,0.66603477,0.797056867,-0.115792741,0.021703114,0.315337118,1.5,91.8,65545
1051,alabama,elmore,-0.817102847,3.269778532,0.028121062,0.130210436,0.429474534,20,129.6,68822
1053,alabama,escambia,-0.244562733,1.142716057,-0.26208525,0.145546201,0.951019911,31.9,40.3,38319
1055,alabama,etowah,0.726074505,1.570988416,-0.055364814,-0.237674856,-0.032451538,15.1,195,102815
1057,alabama,fayette,-0.34019552,0.492954761,0.092899689,-0.166480255,0.709544942,11.4,27.4,18244
1059,alabama,franklin,-0.609692298,0.229660735,-0.163151837,-0.315037251,0.179105545,3.9,50.3,30766
1061,alabama,geneva,-0.209695416,1.708953542,-0.200842039,0.395615664,0.504489885,9.5,46.6,25458
1063,alabama,greene,-0.846456512,1.019003426,-0.282802375,-0.038594614,1.00208714,81.5,13.8,9840
1065,alabama,hale,-0.729250356,1.312801155,-0.271552568,0.078944723,0.668547072,59,23.9,18047
1067,alabama,henry,-1.047802049,1.737354596,-0.061567093,0.196695539,0.155533815,28.6,31,16326
1069,alabama,houston,-0.80394654,1.320681549,-0.246988347,0.386066025,0.208643974,25.8,176.6,89849
1071,alabama,jackson,0.197771964,0.570187361,-0.115835484,0.145670724,0.042815367,3.3,49.4,53648
1073,alabama,jefferson,0.090081628,1.206041568,-0.187972328,-0.148469161,0.207199111,42,592.9,659766
1075,alabama,lamar,-0.637550089,0.341123191,0.035955694,0.072492751,0.557586909,11.3,23.7,15317
1077,alabama,lauderdale,-0.657594751,-0.009876976,-0.330957339,-0.140691641,-0.040327701,10,139,86872
1079,alabama,lawrence,-0.471391624,0.296369402,-0.146052124,-0.245730763,0.19288324,11.5,49.4,34643
1081,alabama,lee,-0.866350992,2.90003632,0.015974538,0.065880713,0.138829973,22.7,236.1,118197
1083,alabama,limestone,0.088054888,0.197244268,-0.105619307,-0.189751171,0.156229975,12.6,152.5,67108
1085,alabama,lowndes,-0.857544427,2.164638935,-0.165025345,0.160757812,1.004131505,73.5,15.6,13459
1087,alabama,macon,-0.74279578,3.072799968,0.205211214,0.307500556,0.372759533,82.6,34.8,23651
1089,alabama,madison,0.147306316,0.409221064,-0.226221752,-0.057134839,0.124844255,24,424.3,286037
1091,alabama,marengo,-1.067913211,1.183657539,-0.431914468,0.047998341,0.907811176,51.7,21.2,22161
1093,alabama,marion,-0.355491473,0.388113666,0.016797058,-0.011678719,0.392985016,3.8,41.3,30235
1095,alabama,marshall,0.222311601,0.772728336,-0.035365717,-0.076057103,0.338884359,1.6,166.4,82922
1097,alabama,mobile,0.043271628,0.830511993,-0.203283677,0.136213482,0.67064715,34.6,335.6,398417
1099,alabama,monroe,-0.271247363,1.569860488,-0.221647718,-0.056032409,0.97428821,41.7,22.2,23803
1101,alabama,montgomery,-0.850431164,2.977798102,0.091769764,0.099318821,0.553206627,54.7,295.9,222936
1103,alabama,morgan,0.041619859,0.4389793,-0.044995383,-0.230948577,0.27315775,11.9,207.1,111397
